experiment,name,algorithm,pca,tuning,cv_f1_mean,cv_f1_std,test_f1,test_accuracy,time_seconds
1,01_LogisticRegression_PCA-False_Tuning-False,LogisticRegression,False,False,0.7277054952829838,0.0177696262534835,0.71875,0.7988826815642458,2.4091720581054688
2,02_LogisticRegression_PCA-False_Tuning-True,LogisticRegression,False,True,0.7299109733538732,0.01644980930073047,0.71875,0.7988826815642458,6.754733085632324
3,03_LogisticRegression_PCA-True_Tuning-False,LogisticRegression,True,False,0.7170474890882521,0.004263554660523683,0.7244094488188977,0.8044692737430168,0.09586882591247559
4,04_LogisticRegression_PCA-True_Tuning-True,LogisticRegression,True,True,0.7192537778140521,0.015322047305380017,0.7244094488188977,0.8044692737430168,0.0352020263671875
5,05_RandomForest_PCA-False_Tuning-False,RandomForest,False,False,0.7344215121092742,0.013096836694604087,0.7384615384615385,0.8100558659217877,0.39783596992492676
6,06_RandomForest_PCA-False_Tuning-True,RandomForest,False,True,0.7536455059710873,0.018882811536026577,0.7286821705426356,0.8044692737430168,1.0567400455474854
7,07_RandomForest_PCA-True_Tuning-False,RandomForest,True,False,0.7185779680161702,0.00841534465654908,0.6771653543307088,0.770949720670391,0.4562251567840576
8,08_RandomForest_PCA-True_Tuning-True,RandomForest,True,True,0.728649627526032,0.0023864162677407603,0.7175572519083969,0.7932960893854749,0.8845181465148926
9,09_GradientBoosting_PCA-False_Tuning-False,GradientBoosting,False,False,0.7487452839984772,0.012531192134834687,0.7142857142857143,0.7988826815642458,0.21976208686828613
10,10_GradientBoosting_PCA-False_Tuning-True,GradientBoosting,False,True,0.7487452839984772,0.012531192134834687,0.7142857142857143,0.7988826815642458,0.3403589725494385
11,11_GradientBoosting_PCA-True_Tuning-False,GradientBoosting,True,False,0.7118644067796609,0.0,0.6356589147286822,0.7374301675977654,0.29021120071411133
12,12_GradientBoosting_PCA-True_Tuning-True,GradientBoosting,True,True,0.7118644067796609,0.0,0.6356589147286822,0.7374301675977654,0.44033193588256836
13,13_LightGBM_PCA-False_Tuning-False,LightGBM,False,False,0.744048947030389,0.013471189150091345,0.7313432835820897,0.7988826815642458,0.785351037979126
14,14_LightGBM_PCA-False_Tuning-True,LightGBM,False,True,0.744048947030389,0.013471189150091345,0.7313432835820897,0.7988826815642458,5.100523233413696
15,15_LightGBM_PCA-True_Tuning-False,LightGBM,True,False,0.7155666793973879,0.025912367910474757,0.7014925373134329,0.776536312849162,0.5
16,16_LightGBM_PCA-True_Tuning-True,LightGBM,True,True,0.7155666793973879,0.025912367910474757,0.7014925373134329,0.776536312849162,2.0
